vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
67,5,1982.0,299.5,1,0
68,4,2013.5,297.0,0,0
69,5,2049.0,300.5,1,0
69,5,2083.5,303.0,0,0
70,5,2119.5,305.5,1,0
72,6,2157.5,309.5,0,0
72,6,2193.5,312.5,0,0
72,6,2229.5,315.5,0,0
72,6,2260.0,318.5,1,0
71,7,2294.0,323.0,0,0
69,7,2313.5,326.5,0,0
70,7,2349.5,330.0,1,0
68,7,2360.5,333.5,1,0
69,7,2396.0,337.0,0,0
70,7,2432.0,340.5,1,0
69,7,2436.5,344.0,1,0
69,7,2471.0,347.5,0,0
67,7,2466.0,351.0,0,0
69,7,2502.5,354.5,0,0
69,7,2537.0,358.0,0,0
70,7,2573.0,361.5,0,0
70,7,2608.0,365.0,1,0
71,8,2644.5,370.0,0,0
73,8,2683.0,374.0,0,0
74,8,2721.0,378.0,0,0
74,8,2758.0,382.0,2,1
75,8,2796.5,386.0,0,0
75,8,2834.0,390.0,0,0
75,8,2871.5,394.0,0,0
79,8,2915.0,398.0,0,0
80,8,2956.0,402.0,0,0
80,8,2996.0,406.0,0,0
82,8,3039.0,410.0,0,0
83,8,3081.5,414.0,0,0
84,8,3124.5,418.0,0,0
85,8,3168.0,422.0,0,0
82,8,3066.0,426.0,0,0
81,8,3040.5,430.0,0,0
80,8,3017.5,434.0,0,0
79,8,3021.5,438.0,2,0
79,9,3061.0,443.5,0,0
78,9,3065.5,448.0,0,0
77,9,3072.0,452.5,0,0
77,9,3110.5,457.0,1,0
75,9,3115.5,461.5,1,0
77,9,3156.0,466.0,0,0
75,9,3162.5,470.5,0,0
76,10,3200.5,476.5,1,0
76,10,3211.5,481.5,2,0
75,10,3222.0,486.5,0,0
75,10,3259.5,491.5,0,0
75,10,3271.5,496.5,1,0
76,10,3310.5,501.5,1,0
75,10,3321.5,506.5,0,0
75,11,3359.0,513.0,0,0
74,11,3370.0,518.5,0,0
73,11,3381.5,524.0,0,0
74,11,3419.5,529.5,0,0
74,11,3433.0,535.0,1,0
75,11,3471.5,540.5,0,0
74,11,3484.0,546.0,0,0
75,11,3522.5,551.5,0,0
75,11,3536.5,557.0,0,0
75,11,3574.0,562.5,1,0
75,11,3588.5,568.0,0,0
75,11,3626.0,573.5,1,0
74,11,3640.0,579.0,0,0
74,11,3677.0,584.5,0,0
