hp_LEARNING_RATE,hp_GAMMA,hp_BATCH_SIZE,hp_TAU,loss,episode_reward,training_iteration,avg_env_step_ms,avg_train_step_ms,gpu_time,trial_name,trial_wall_time_s
1.1905619420080802e-05,0.9811676799370286,256,0.0027324242713131727,0.7175172567367554,-399.1499999999996,20,175.2899316988187,124.5653408986982,0.0,c5fa03fd,
4.869019473121305e-06,0.9847078744168035,128,0.0013093005514295787,1.4177383184432983,-406.26500000000016,16,170.9273864987772,133.12656559899915,0.0,24564936,
1.7037960450881315e-06,0.9860392478961818,128,0.0012898110187217035,2.016561508178711,-352.1850000000003,2,159.87550790060777,115.70757920027245,0.0,966df91a,
1.730846254203211e-06,0.9863502272076479,256,0.0012983721531629555,1.7137902975082397,-446.7999999999997,2,172.4099920989247,116.27397450141143,0.0,4fdf9574,
1.832620497201442e-06,0.9847464544329192,128,0.0013268187949117111,2.15496826171875,-532.4950000000001,2,190.33091090235393,121.06675819901284,0.0,a0d6c31c,
5.26189670636592e-06,0.9850281683734152,256,0.0010149556722665954,1.7173388004302979,-365.7500000000002,2,161.0780410990119,115.05233630037401,0.0,63ce75e2,
5.261338300249119e-06,0.9848487155209776,256,0.0009736831683713041,1.6752159595489502,-384.1400000000007,2,180.75582729908638,157.83300430211239,0.0,b8465526,
3.1269598296405415e-05,0.9846591520295975,256,0.0007701136219923695,1.4619777202606201,-386.2050000000008,4,183.43565739912447,171.43364560161717,0.0,05819706,
4.863289068503998e-05,0.9832007484572741,256,0.0007979480890375982,1.7185100317001343,-363.1750000000002,2,185.7820025003748,151.43483710079454,0.0,bea6491b,
5.10672313274567e-05,0.9831654160574709,256,0.0007948498764179959,1.9227774143218994,-386.93499999999983,2,175.9347042987356,128.0463779993588,0.0,5cf8f84f,
3.362995760665964e-05,0.9832169815676576,256,0.0007884411131253553,2.1615734100341797,-421.22000000000025,2,172.95493929984514,131.26899500354193,0.0,4d6ef4b4,
3.3215325230669584e-05,0.9819561696388884,256,0.0011420733829480348,1.6773881912231445,-401.84000000000015,2,171.99250720022246,126.36114930338226,0.0,7628b12e,
3.246122784352691e-05,0.9818217987222684,256,0.0011312509656851058,1.889150857925415,-418.5499999999999,2,173.58999459980987,123.41729159932584,0.0,42f14807,
3.2755270241442025e-05,0.9820097141737161,256,0.0011043733879748418,1.028836727142334,-610.6799999999988,8,220.76672819792293,177.56233780109324,0.0,ecbbe1e3,
2.4189097969763514e-06,0.9821423793058061,256,0.0011617583690515848,0.7973575592041016,-400.6300000000004,20,165.83212990139145,117.92423620063346,0.0,71b3e784,
2.281712067277241e-06,0.9813494353543917,256,0.0023678308165930606,1.0972576141357422,-395.4350000000007,8,176.4604518976994,128.93963090039324,0.0,201be33a,
2.250301982449904e-06,0.9813748704557482,256,0.0023939918321705224,1.6940906047821045,-446.2199999999999,2,179.89697399921715,122.13466679945122,0.0,d7f65476,
2.5063074057376472e-06,0.9889035681781101,256,0.002394015641294472,1.5951217412948608,-474.80999999999887,4,189.17048499837983,126.61850890191273,0.0,fe6ad823,
2.2465465178990404e-06,0.9894022061294735,256,0.0023568988381991495,2.1652703285217285,-458.93500000000023,2,185.3072487016907,146.24023129965644,0.0,79686204,
2.9793364833723852e-06,0.9823958366148763,256,0.0018144951274182552,1.141533613204956,-522.6299999999995,16,188.07650510093663,124.66632879828103,0.0,34d66e61,
4.494214439330942e-06,0.9824664024503011,256,0.0018141537137785857,1.8711283206939697,-412.0750000000007,2,183.86990710010286,141.8823659978807,0.0,31a75deb,
2.662483096336182e-06,0.9808783718636255,256,0.003634857333542412,1.0471047163009644,-381.02500000000003,8,176.98266439896543,131.57108830066863,0.0,12b97b81,
2.920118428612426e-06,0.9809177944790166,256,0.0010477304988109723,1.6858407258987427,-416.8900000000003,4,179.9671126002213,136.12823689903598,0.0,d3a93412,
