episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
192,train,-316.87999999999965,1000,28.193,2.33,711.1075,59.7845,400,30,50,1,192000
193,train,-317.0799999999991,1000,28.414,2.196,737.512,54.72,397,29,51,1,193000
194,train,-319.42999999999984,1000,28.334,2.406,711.4615,57.5115,397,31,51,1,194000
195,train,-329.1850000000003,1000,29.044,2.583,704.7395,69.243,394,31,53,1,195000
196,train,-286.02500000000015,1000,24.902,2.467,578.003,64.7405,396,31,50,1,196000
197,train,-303.1699999999999,1000,26.603,2.476,618.2105,63.3835,400,33,50,1,197000
198,train,-320.55999999999926,1000,28.504,2.368,723.2835,61.462,403,28,50,1,198000
199,train,-300.0700000000001,1000,26.401,2.404,627.5635,58.899,395,32,51,1,199000
200,eval,-322.1299999999998,1000,28.376,2.558,779.8395,66.448,395,30,45,1,200000
201,eval,-325.1700000000006,1000,28.287,2.82,675.6105,76.531,399,30,50,1,201000
202,eval,-339.7649999999997,1000,29.229,3.165,754.7215,82.6645,381,30,50,1,202000
203,eval,-313.15000000000043,1000,26.884,2.954,713.7435,80.4605,384,32,47,1,203000
204,eval,-348.6549999999998,1000,31.072,2.529,789.779,69.4475,394,32,50,1,204000
205,eval,-311.9399999999997,1000,27.405,2.526,632.9875,65.5185,398,33,50,1,205000
206,eval,-310.27999999999975,1000,27.134,2.596,635.9505,69.41,398,30,50,1,206000
207,eval,-340.475,1000,29.207,3.227,764.5315,87.491,381,31,47,1,207000
208,eval,-331.64999999999947,1000,28.665,3.0,711.2185,90.389,387,29,50,1,208000
209,eval,-322.86000000000064,1000,28.413,2.582,646.183,78.9105,395,29,50,1,209000
210,eval,-304.2950000000002,1000,26.24,2.793,657.408,79.731,383,32,50,1,210000
211,eval,-317.38499999999976,1000,27.885,2.569,715.606,66.5135,375,32,50,1,211000
212,eval,-335.91999999999996,1000,29.398,2.796,748.424,73.2635,393,29,50,1,212000
213,eval,-300.23999999999984,1000,26.355,2.446,576.583,65.338,395,32,50,1,213000
214,eval,-329.52000000000066,1000,29.118,2.556,751.5525,67.4695,396,28,50,1,214000
215,eval,-330.2899999999995,1000,28.256,3.182,710.925,87.4865,389,29,50,1,215000
216,eval,-317.38499999999954,1000,27.171,3.045,675.439,85.114,391,33,50,1,216000
217,eval,-332.0050000000002,1000,29.563,2.425,764.5715,61.5755,400,32,50,1,217000
218,eval,-348.6749999999997,1000,30.807,2.707,809.7505,71.801,396,28,50,1,218000
219,eval,-328.0099999999996,1000,28.307,2.996,667.1625,81.663,400,31,50,1,219000
220,eval,-309.2349999999999,1000,26.008,3.277,674.772,96.117,385,29,47,1,220000
221,eval,-329.9749999999992,1000,28.796,2.801,705.0035,73.7685,396,28,50,1,221000
222,eval,-304.5650000000004,1000,26.627,2.553,607.52,65.037,396,30,50,1,222000
223,eval,-305.63500000000005,1000,26.533,2.687,628.2705,66.331,394,32,51,1,223000
224,eval,-287.95499999999976,1000,25.341,2.303,570.8505,58.165,396,32,50,1,224000
225,eval,-370.1000000000008,1000,32.873,2.758,931.6795,69.4145,383,32,44,1,225000
226,eval,-309.48000000000025,1000,27.075,2.582,655.8135,67.689,397,30,50,1,226000
227,eval,-321.14000000000055,1000,27.668,2.964,633.9975,78.142,395,32,50,1,227000
228,eval,-311.89,1000,27.397,2.528,669.096,67.6195,399,31,50,1,228000
229,eval,-385.05500000000023,1000,34.061,2.963,1014.765,72.36,372,30,50,1,229000
230,eval,-320.38499999999965,1000,27.747,2.861,666.8495,73.966,393,30,50,1,230000
231,eval,-362.1150000000001,1000,32.457,2.503,857.355,75.9055,391,31,50,1,231000
232,eval,-296.6700000000001,1000,25.551,2.744,579.7015,69.71,402,29,50,1,232000
233,eval,-294.44999999999993,1000,25.542,2.602,590.392,65.121,401,33,50,1,233000
234,eval,-311.45499999999953,1000,27.406,2.493,642.406,68.3005,396,30,50,1,234000
235,eval,-355.15999999999946,1000,32.078,2.292,897.2875,56.09,396,31,50,1,235000
