global_step,batch_idx,env_label,episode,step_in_episode,reward,cumulative_reward_episode,queue_length,queue_ma50,loss
293,1,5,29,2,0.0,0.0,0,0.0,0.0
294,1,6,30,2,0.0,0.0,0,0.0,0.0
295,1,7,31,2,0.0,0.0,0,0.0,0.0
296,1,8,32,2,0.0,0.0,0,0.0,0.0
297,1,9,33,2,0.0,0.0,0,0.0,0.0
298,1,10,34,2,0.0,0.0,0,0.0,0.0
299,1,11,35,2,0.0,0.0,0,0.0,0.0
300,1,12,36,2,0.0,0.0,0,0.0,0.0
301,1,13,37,2,0.0,0.0,0,0.0,0.0
302,1,14,38,2,0.0,0.0,0,0.0,0.0
303,1,15,39,2,0.0,0.0,0,0.0,0.0
304,1,16,40,2,0.0,0.0,0,0.0,0.0
305,1,17,41,2,0.0,0.0,0,0.0,0.0
306,1,18,42,2,0.0,0.0,0,0.0,0.0
307,1,19,43,2,0.0,0.0,0,0.0,0.0
308,1,20,44,2,0.0,0.0,0,0.0,0.0
309,1,21,45,2,0.0,0.0,0,0.0,0.0
310,1,22,46,2,0.0,0.0,0,0.0,0.0
311,1,23,47,2,0.0,0.0,0,0.0,0.0
312,1,0,24,3,0.0,0.0,0,0.0,0.0
313,1,1,25,3,0.0,0.0,0,0.0,0.0
314,1,2,26,3,0.0,0.0,0,0.0,0.0
315,1,3,27,3,0.0,0.0,0,0.0,0.0
316,1,4,28,3,0.0,0.0,0,0.0,0.0
317,1,5,29,3,0.0,0.0,0,0.0,0.0
318,1,6,30,3,0.0,0.0,0,0.0,0.0
319,1,7,31,3,0.0,0.0,0,0.0,0.0
320,1,8,32,3,0.0,0.0,0,0.0,0.0
321,1,9,33,3,0.0,0.0,0,0.0,0.0
322,1,10,34,3,0.0,0.0,0,0.0,0.0
323,1,11,35,3,0.0,0.0,0,0.0,0.0
324,1,12,36,3,0.0,0.0,0,0.0,0.0
325,1,13,37,3,0.0,0.0,0,0.0,0.0
326,1,14,38,3,0.0,0.0,0,0.0,0.0
327,1,15,39,3,0.0,0.0,0,0.0,0.0
328,1,16,40,3,0.0,0.0,0,0.0,0.0
329,1,17,41,3,0.0,0.0,0,0.0,0.0
330,1,18,42,3,0.0,0.0,0,0.0,0.0
331,1,19,43,3,0.0,0.0,0,0.0,0.0
332,1,20,44,3,0.0,0.0,0,0.0,0.0
333,1,21,45,3,0.0,0.0,0,0.0,0.0
334,1,22,46,3,0.0,0.0,0,0.0,0.0
335,1,23,47,3,0.0,0.0,0,0.0,0.0
336,1,0,24,4,0.0,0.0,0,0.0,0.0
337,1,1,25,4,0.0,0.0,0,0.0,0.0
338,1,2,26,4,0.0,0.0,0,0.0,0.0
339,1,3,27,4,0.0,0.0,0,0.0,0.0
340,1,4,28,4,0.0,0.0,0,0.0,0.0
341,1,5,29,4,0.0,0.0,0,0.0,0.0
342,1,6,30,4,0.0,0.0,0,0.0,0.0
343,1,7,31,4,0.0,0.0,0,0.0,0.0
344,1,8,32,4,0.0,0.0,0,0.0,0.0
345,1,9,33,4,0.0,0.0,0,0.0,0.0
346,1,10,34,4,0.0,0.0,0,0.0,0.0
347,1,11,35,4,0.0,0.0,0,0.0,0.0
348,1,12,36,4,0.0,0.0,0,0.0,0.0
349,1,13,37,4,0.0,0.0,0,0.0,0.0
350,1,14,38,4,0.0,0.0,0,0.0,0.0
351,1,15,39,4,0.0,0.0,0,0.0,0.0
